issue_key,summary,description,priority,story_points,dependencies,pre_mapped_skills
TSK-019,Task 19: Bug,Detailed description for task 19. This is a documentation update.,1,1,"TSK-191,TSK-173","RabbitMQ,React"
TSK-020,Task 20: Bug,Detailed description for task 20. This is a technical task.,3,13,,"Grafana,React,System Architecture,Angular"
TSK-021,Task 21: Feature,Detailed description for task 21. This is a user story.,3,2,TSK-156,"Elasticsearch,PostgreSQL,Project Management"
TSK-022,Task 22: Enhancement,Detailed description for task 22. This is a documentation update.,3,1,,"Kafka,Terraform"
TSK-023,Task 23: Documentation,Detailed description for task 23. This is a documentation update.,1,5,"TSK-074,TSK-076","Prometheus,Project Management"
TSK-024,Task 24: Documentation,Detailed description for task 24. This is a bug fix.,2,8,"TSK-111,TSK-107",DevOps
TSK-025,Task 25: Documentation,Detailed description for task 25. This is a documentation update.,2,3,TSK-060,Redis
TSK-026,Task 26: Bug,Detailed description for task 26. This is a user story.,2,13,,"Node.js,Ansible"
TSK-027,Task 27: Feature,Detailed description for task 27. This is a documentation update.,3,1,"TSK-080,TSK-024,TSK-066","REST APIs,Project Management,GraphQL"
TSK-028,Task 28: Documentation,Detailed description for task 28. This is a bug fix.,1,8,TSK-053,"Data Analysis,Azure"
TSK-029,Task 29: Feature,Detailed description for task 29. This is a documentation update.,1,5,"TSK-132,TSK-102","Java,RabbitMQ,Ansible"
TSK-030,Task 30: Enhancement,Detailed description for task 30. This is a documentation update.,3,1,TSK-113,"Machine Learning,Elasticsearch,AWS"
TSK-031,Task 31: Enhancement,Detailed description for task 31. This is a user story.,3,2,,"Ansible,GraphQL,Angular,CI/CD"
TSK-032,Task 32: Documentation,Detailed description for task 32. This is a user story.,2,13,,"GraphQL,Agile,GCP,Angular"
TSK-033,Task 33: Bug,Detailed description for task 33. This is a documentation update.,1,5,"TSK-113,TSK-076","Jenkins,Redis"
TSK-034,Task 34: Enhancement,Detailed description for task 34. This is a technical task.,3,2,"TSK-088,TSK-025","AWS,Git"
TSK-035,Task 35: Documentation,Detailed description for task 35. This is a user story.,1,8,"TSK-030,TSK-174","UI/UX Design,JavaScript"
TSK-036,Task 36: Bug,Detailed description for task 36. This is a documentation update.,2,1,"TSK-140,TSK-095",Ansible
TSK-037,Task 37: Documentation,Detailed description for task 37. This is a bug fix.,1,5,TSK-111,"Agile,System Architecture"
TSK-038,Task 38: Feature,Detailed description for task 38. This is a user story.,2,2,"TSK-088,TSK-004","Project Management,AWS,DevOps"
TSK-039,Task 39: Documentation,Detailed description for task 39. This is a user story.,1,5,"TSK-050,TSK-144,TSK-135","CI/CD,Node.js,GCP"
TSK-040,Task 40: Bug,Detailed description for task 40. This is a documentation update.,3,8,"TSK-066,TSK-065,TSK-123",CI/CD
TSK-041,Task 41: Feature,Detailed description for task 41. This is a user story.,1,1,,Git
TSK-042,Task 42: Feature,Detailed description for task 42. This is a documentation update.,1,8,TSK-193,"PostgreSQL,Redis,Prometheus,Microservices"
TSK-043,Task 43: Documentation,Detailed description for task 43. This is a documentation update.,3,3,TSK-192,"REST APIs,Terraform,AWS"
TSK-044,Task 44: Feature,Detailed description for task 44. This is a bug fix.,2,2,TSK-154,"Redis,JavaScript,Data Analysis,GraphQL"
TSK-045,Task 45: Enhancement,Detailed description for task 45. This is a bug fix.,2,13,"TSK-060,TSK-103","Project Management,Data Analysis,React"
TSK-046,Task 46: Enhancement,Detailed description for task 46. This is a user story.,1,13,"TSK-068,TSK-173,TSK-073",AWS
TSK-047,Task 47: Enhancement,Detailed description for task 47. This is a bug fix.,2,5,TSK-004,"Project Management,Agile"
TSK-048,Task 48: Bug,Detailed description for task 48. This is a documentation update.,2,1,TSK-119,"Microservices,Prometheus,Project Management,Java"
TSK-049,Task 49: Bug,Detailed description for task 49. This is a user story.,1,3,,"Redis,Terraform,SQL,Git"
TSK-050,Task 50: Bug,Detailed description for task 50. This is a technical task.,1,1,,"Microservices,Azure"
TSK-051,Task 51: Documentation,Detailed description for task 51. This is a bug fix.,2,8,TSK-039,"UI/UX Design,Node.js"
TSK-052,Task 52: Enhancement,Detailed description for task 52. This is a documentation update.,2,1,,"Node.js,Python,System Architecture"
TSK-053,Task 53: Enhancement,Detailed description for task 53. This is a bug fix.,2,1,"TSK-022,TSK-141","Grafana,CI/CD"
TSK-054,Task 54: Documentation,Detailed description for task 54. This is a documentation update.,3,13,"TSK-110,TSK-034,TSK-164",React
TSK-055,Task 55: Bug,Detailed description for task 55. This is a technical task.,3,2,"TSK-033,TSK-139,TSK-169",Git
TSK-056,Task 56: Bug,Detailed description for task 56. This is a technical task.,2,3,"TSK-044,TSK-177,TSK-049","Agile,Git,SQL"
TSK-057,Task 57: Documentation,Detailed description for task 57. This is a user story.,1,5,,"REST APIs,PostgreSQL,Elasticsearch,Terraform"
TSK-058,Task 58: Enhancement,Detailed description for task 58. This is a technical task.,1,3,"TSK-032,TSK-053","Project Management,UI/UX Design,Kafka,Python"
TSK-059,Task 59: Enhancement,Detailed description for task 59. This is a user story.,2,2,,"React,SQL"
TSK-060,Task 60: Documentation,Detailed description for task 60. This is a bug fix.,2,1,"TSK-135,TSK-082","Git,Docker,Jenkins"
TSK-061,Task 61: Bug,Detailed description for task 61. This is a user story.,2,13,"TSK-169,TSK-086","System Architecture,AWS,Microservices"
TSK-062,Task 62: Documentation,Detailed description for task 62. This is a bug fix.,1,8,TSK-052,"Jenkins,React"
TSK-063,Task 63: Bug,Detailed description for task 63. This is a bug fix.,3,8,"TSK-183,TSK-066","RabbitMQ,Node.js"
TSK-064,Task 64: Enhancement,Detailed description for task 64. This is a documentation update.,1,1,"TSK-034,TSK-146","Docker,GraphQL,Jenkins"
TSK-065,Task 65: Enhancement,Detailed description for task 65. This is a technical task.,1,1,"TSK-119,TSK-037","Kubernetes,JavaScript,Python,Terraform"
TSK-066,Task 66: Bug,Detailed description for task 66. This is a user story.,1,2,"TSK-043,TSK-149",Node.js
TSK-067,Task 67: Feature,Detailed description for task 67. This is a documentation update.,3,8,,"Grafana,Microservices,UI/UX Design"
TSK-068,Task 68: Enhancement,Detailed description for task 68. This is a user story.,1,8,,Python
TSK-069,Task 69: Enhancement,Detailed description for task 69. This is a documentation update.,1,1,"TSK-048,TSK-157,TSK-195","Machine Learning,UI/UX Design,Prometheus"
TSK-070,Task 70: Bug,Detailed description for task 70. This is a user story.,1,8,"TSK-083,TSK-175","Ansible,Java,Data Analysis"
TSK-071,Task 71: Documentation,Detailed description for task 71. This is a documentation update.,1,8,,"PostgreSQL,SQL"
TSK-072,Task 72: Feature,Detailed description for task 72. This is a user story.,1,1,,"Agile,GraphQL"
TSK-073,Task 73: Feature,Detailed description for task 73. This is a user story.,1,13,TSK-126,Python
TSK-074,Task 74: Enhancement,Detailed description for task 74. This is a technical task.,3,8,TSK-199,"JavaScript,Redis,Grafana"
TSK-075,Task 75: Feature,Detailed description for task 75. This is a documentation update.,1,3,TSK-041,"Jenkins,Java"
TSK-076,Task 76: Documentation,Detailed description for task 76. This is a user story.,2,8,"TSK-125,TSK-004,TSK-200","Node.js,Kubernetes,MongoDB,PostgreSQL"
TSK-077,Task 77: Documentation,Detailed description for task 77. This is a technical task.,1,5,"TSK-096,TSK-186,TSK-131","Data Analysis,Terraform"
TSK-078,Task 78: Enhancement,Detailed description for task 78. This is a bug fix.,1,2,,"Terraform,System Architecture"
TSK-079,Task 79: Enhancement,Detailed description for task 79. This is a documentation update.,2,13,,Java
TSK-080,Task 80: Documentation,Detailed description for task 80. This is a technical task.,3,8,,"Java,Angular,GraphQL,Python"
TSK-081,Task 81: Enhancement,Detailed description for task 81. This is a user story.,2,1,TSK-142,"Data Analysis,Node.js,Terraform"
TSK-082,Task 82: Enhancement,Detailed description for task 82. This is a documentation update.,2,2,"TSK-071,TSK-192,TSK-044","RabbitMQ,Git,Agile,Python"
TSK-083,Task 83: Enhancement,Detailed description for task 83. This is a documentation update.,3,3,,"AWS,Git,Java"
TSK-084,Task 84: Bug,Detailed description for task 84. This is a documentation update.,1,8,"TSK-156,TSK-189,TSK-170","Azure,Python,React,Agile"
TSK-085,Task 85: Documentation,Detailed description for task 85. This is a documentation update.,1,1,,Jenkins
TSK-086,Task 86: Documentation,Detailed description for task 86. This is a user story.,1,3,,"UI/UX Design,JavaScript"
TSK-087,Task 87: Documentation,Detailed description for task 87. This is a user story.,2,1,"TSK-090,TSK-061,TSK-186","DevOps,SQL,Java"
TSK-088,Task 88: Feature,Detailed description for task 88. This is a technical task.,3,3,"TSK-162,TSK-181","Jenkins,Ansible,System Architecture"
TSK-089,Task 89: Enhancement,Detailed description for task 89. This is a user story.,2,3,TSK-008,"RabbitMQ,Python,Grafana,Data Analysis"
TSK-090,Task 90: Bug,Detailed description for task 90. This is a technical task.,3,5,"TSK-121,TSK-001,TSK-138","GCP,System Architecture,DevOps"
TSK-091,Task 91: Feature,Detailed description for task 91. This is a technical task.,3,13,TSK-103,"Docker,DevOps"
TSK-092,Task 92: Documentation,Detailed description for task 92. This is a documentation update.,3,3,"TSK-017,TSK-101","Kubernetes,Microservices"
TSK-093,Task 93: Bug,Detailed description for task 93. This is a documentation update.,1,5,"TSK-180,TSK-086,TSK-168",Java
TSK-094,Task 94: Bug,Detailed description for task 94. This is a documentation update.,1,5,"TSK-015,TSK-159,TSK-163","Microservices,Terraform,Data Analysis,Elasticsearch"
TSK-095,Task 95: Bug,Detailed description for task 95. This is a bug fix.,2,8,TSK-067,"Prometheus,RabbitMQ,Java,React"
TSK-096,Task 96: Bug,Detailed description for task 96. This is a documentation update.,2,8,"TSK-010,TSK-085","Prometheus,Git,Ansible"
TSK-097,Task 97: Feature,Detailed description for task 97. This is a documentation update.,1,3,TSK-058,Node.js
TSK-098,Task 98: Feature,Detailed description for task 98. This is a user story.,1,1,"TSK-118,TSK-133",AWS
TSK-099,Task 99: Enhancement,Detailed description for task 99. This is a bug fix.,2,3,TSK-132,Python
TSK-100,Task 100: Enhancement,Detailed description for task 100. This is a documentation update.,3,13,"TSK-150,TSK-005",PostgreSQL
TSK-101,Task 101: Bug,Detailed description for task 101. This is a technical task.,2,5,"TSK-008,TSK-146,TSK-081","Project Management,Redis,Grafana"
TSK-102,Task 102: Enhancement,Detailed description for task 102. This is a user story.,3,5,TSK-166,Docker
TSK-103,Task 103: Bug,Detailed description for task 103. This is a documentation update.,2,13,,PostgreSQL
TSK-104,Task 104: Feature,Detailed description for task 104. This is a technical task.,1,1,TSK-186,"Data Analysis,Prometheus,Grafana,JavaScript"
TSK-105,Task 105: Enhancement,Detailed description for task 105. This is a user story.,3,8,"TSK-075,TSK-039","Python,CI/CD,JavaScript"
TSK-106,Task 106: Bug,Detailed description for task 106. This is a user story.,3,3,"TSK-101,TSK-159,TSK-139","PostgreSQL,GCP,Ansible"
TSK-107,Task 107: Enhancement,Detailed description for task 107. This is a technical task.,1,2,,Git
TSK-108,Task 108: Feature,Detailed description for task 108. This is a user story.,2,13,"TSK-185,TSK-155,TSK-138","Redis,Node.js,JavaScript,Prometheus"
TSK-109,Task 109: Feature,Detailed description for task 109. This is a technical task.,3,8,"TSK-035,TSK-052,TSK-064","Ansible,React,Terraform,Grafana"
TSK-110,Task 110: Documentation,Detailed description for task 110. This is a bug fix.,2,2,"TSK-046,TSK-032",REST APIs
TSK-111,Task 111: Enhancement,Detailed description for task 111. This is a user story.,3,5,TSK-136,"Prometheus,RabbitMQ,Jenkins,JavaScript"
TSK-112,Task 112: Enhancement,Detailed description for task 112. This is a bug fix.,1,8,,React
TSK-113,Task 113: Feature,Detailed description for task 113. This is a technical task.,1,3,,"CI/CD,PostgreSQL"
TSK-114,Task 114: Bug,Detailed description for task 114. This is a user story.,1,2,"TSK-081,TSK-040,TSK-012","Machine Learning,REST APIs,PostgreSQL"
TSK-115,Task 115: Documentation,Detailed description for task 115. This is a user story.,3,13,"TSK-145,TSK-146",Azure
TSK-116,Task 116: Feature,Detailed description for task 116. This is a user story.,3,3,"TSK-170,TSK-134","Kafka,SQL,REST APIs"
TSK-117,Task 117: Enhancement,Detailed description for task 117. This is a technical task.,1,8,,"Grafana,Microservices,Agile,Ansible"
TSK-118,Task 118: Documentation,Detailed description for task 118. This is a user story.,3,1,TSK-182,"Agile,AWS,Elasticsearch,SQL"
TSK-119,Task 119: Feature,Detailed description for task 119. This is a bug fix.,3,3,TSK-093,"Angular,SQL"
TSK-120,Task 120: Feature,Detailed description for task 120. This is a user story.,2,2,TSK-076,"Redis,Machine Learning,MongoDB"
TSK-121,Task 121: Bug,Detailed description for task 121. This is a user story.,1,3,"TSK-127,TSK-045","Machine Learning,SQL,Project Management,REST APIs"
TSK-122,Task 122: Bug,Detailed description for task 122. This is a bug fix.,2,2,"TSK-194,TSK-121","Kubernetes,Node.js,Machine Learning,Azure"
TSK-123,Task 123: Bug,Detailed description for task 123. This is a documentation update.,1,5,TSK-158,"Angular,Prometheus,Ansible,PostgreSQL"
TSK-124,Task 124: Enhancement,Detailed description for task 124. This is a user story.,1,13,,UI/UX Design
TSK-125,Task 125: Bug,Detailed description for task 125. This is a bug fix.,2,2,,Azure
TSK-126,Task 126: Bug,Detailed description for task 126. This is a documentation update.,3,3,"TSK-039,TSK-052,TSK-172","SQL,MongoDB,Agile"
TSK-127,Task 127: Enhancement,Detailed description for task 127. This is a user story.,3,13,"TSK-077,TSK-183,TSK-129",Elasticsearch
TSK-128,Task 128: Documentation,Detailed description for task 128. This is a documentation update.,2,2,TSK-112,CI/CD
TSK-129,Task 129: Bug,Detailed description for task 129. This is a bug fix.,1,1,,"CI/CD,GraphQL,Prometheus"
TSK-130,Task 130: Bug,Detailed description for task 130. This is a technical task.,2,2,TSK-179,"Node.js,Ansible"
TSK-131,Task 131: Bug,Detailed description for task 131. This is a technical task.,3,3,"TSK-049,TSK-043","Azure,SQL"
TSK-132,Task 132: Bug,Detailed description for task 132. This is a documentation update.,2,8,TSK-169,"Node.js,Jenkins"
TSK-133,Task 133: Bug,Detailed description for task 133. This is a technical task.,1,1,"TSK-033,TSK-020",Jenkins
TSK-134,Task 134: Enhancement,Detailed description for task 134. This is a user story.,1,1,"TSK-160,TSK-041,TSK-052","Git,Machine Learning"
TSK-135,Task 135: Documentation,Detailed description for task 135. This is a bug fix.,2,13,"TSK-121,TSK-107","Prometheus,GraphQL,UI/UX Design,Machine Learning"
TSK-136,Task 136: Enhancement,Detailed description for task 136. This is a documentation update.,1,2,,"System Architecture,DevOps,AWS"
TSK-137,Task 137: Enhancement,Detailed description for task 137. This is a user story.,3,13,,"Kubernetes,Project Management"
TSK-138,Task 138: Enhancement,Detailed description for task 138. This is a bug fix.,3,1,"TSK-129,TSK-174,TSK-028","Java,Machine Learning,PostgreSQL"
TSK-139,Task 139: Bug,Detailed description for task 139. This is a bug fix.,3,1,"TSK-127,TSK-125,TSK-154","Git,Kafka,Terraform,JavaScript"
TSK-140,Task 140: Documentation,Detailed description for task 140. This is a documentation update.,2,13,"TSK-188,TSK-142","CI/CD,REST APIs,Terraform,React"
TSK-141,Task 141: Feature,Detailed description for task 141. This is a technical task.,3,5,"TSK-152,TSK-128,TSK-109",JavaScript
TSK-142,Task 142: Feature,Detailed description for task 142. This is a bug fix.,1,1,"TSK-019,TSK-119","PostgreSQL,Redis"
TSK-143,Task 143: Enhancement,Detailed description for task 143. This is a user story.,2,3,"TSK-119,TSK-070","Kafka,SQL,Git"
TSK-144,Task 144: Enhancement,Detailed description for task 144. This is a bug fix.,3,5,,"GCP,DevOps,Data Analysis"
TSK-145,Task 145: Enhancement,Detailed description for task 145. This is a bug fix.,3,8,"TSK-001,TSK-186,TSK-056","GCP,UI/UX Design"
TSK-146,Task 146: Bug,Detailed description for task 146. This is a technical task.,3,3,TSK-017,"Redis,DevOps,Java,SQL"
TSK-147,Task 147: Documentation,Detailed description for task 147. This is a user story.,3,3,"TSK-187,TSK-154,TSK-185",PostgreSQL
TSK-148,Task 148: Feature,Detailed description for task 148. This is a technical task.,1,1,"TSK-146,TSK-112,TSK-160","Angular,UI/UX Design,Elasticsearch,Kubernetes"
TSK-149,Task 149: Bug,Detailed description for task 149. This is a user story.,3,2,TSK-106,"Terraform,JavaScript,Python,Ansible"
TSK-150,Task 150: Enhancement,Detailed description for task 150. This is a documentation update.,1,3,"TSK-163,TSK-070","Microservices,Grafana,JavaScript,GraphQL"
TSK-151,Task 151: Documentation,Detailed description for task 151. This is a user story.,1,5,,"Azure,Grafana"
TSK-152,Task 152: Enhancement,Detailed description for task 152. This is a technical task.,2,13,,"AWS,Angular,Docker,MongoDB"
TSK-153,Task 153: Documentation,Detailed description for task 153. This is a user story.,3,5,TSK-186,Project Management
TSK-154,Task 154: Bug,Detailed description for task 154. This is a user story.,2,8,"TSK-123,TSK-181","Git,Redis"
TSK-155,Task 155: Feature,Detailed description for task 155. This is a user story.,1,1,"TSK-124,TSK-107,TSK-142","MongoDB,REST APIs"
TSK-156,Task 156: Documentation,Detailed description for task 156. This is a bug fix.,2,5,,"Ansible,Kafka,Agile"
TSK-157,Task 157: Bug,Detailed description for task 157. This is a bug fix.,2,13,TSK-155,"Terraform,GCP,Kafka,System Architecture"
TSK-158,Task 158: Bug,Detailed description for task 158. This is a technical task.,1,13,TSK-029,"CI/CD,Azure"
TSK-159,Task 159: Documentation,Detailed description for task 159. This is a documentation update.,2,13,"TSK-020,TSK-053",Microservices
TSK-160,Task 160: Bug,Detailed description for task 160. This is a documentation update.,2,5,"TSK-176,TSK-122",Java
TSK-161,Task 161: Feature,Detailed description for task 161. This is a technical task.,2,3,"TSK-102,TSK-111","Python,Terraform"
TSK-162,Task 162: Bug,Detailed description for task 162. This is a technical task.,3,13,"TSK-119,TSK-072,TSK-053","Docker,Angular,Prometheus,UI/UX Design"
TSK-163,Task 163: Feature,Detailed description for task 163. This is a documentation update.,3,3,TSK-174,"PostgreSQL,REST APIs,RabbitMQ,Azure"
TSK-164,Task 164: Bug,Detailed description for task 164. This is a documentation update.,1,2,TSK-019,"Kafka,MongoDB,Project Management,Machine Learning"
TSK-165,Task 165: Feature,Detailed description for task 165. This is a documentation update.,3,3,TSK-145,"JavaScript,Kafka"
TSK-166,Task 166: Bug,Detailed description for task 166. This is a user story.,3,13,TSK-194,Angular
TSK-167,Task 167: Feature,Detailed description for task 167. This is a technical task.,3,5,,"PostgreSQL,UI/UX Design,GCP,Redis"
TSK-168,Task 168: Documentation,Detailed description for task 168. This is a documentation update.,3,1,,Docker
TSK-169,Task 169: Documentation,Detailed description for task 169. This is a bug fix.,2,5,TSK-039,"System Architecture,GraphQL,DevOps,GCP"
TSK-170,Task 170: Feature,Detailed description for task 170. This is a bug fix.,2,2,"TSK-068,TSK-053,TSK-064","Java,Redis,CI/CD"
TSK-171,Task 171: Feature,Detailed description for task 171. This is a documentation update.,1,1,TSK-166,"RabbitMQ,JavaScript"
TSK-172,Task 172: Feature,Detailed description for task 172. This is a documentation update.,1,3,"TSK-028,TSK-012","Machine Learning,Node.js,Azure,GraphQL"
TSK-173,Task 173: Feature,Detailed description for task 173. This is a documentation update.,2,3,,"AWS,React,Prometheus"
TSK-174,Task 174: Documentation,Detailed description for task 174. This is a technical task.,2,2,"TSK-142,TSK-173","UI/UX Design,Redis"
TSK-175,Task 175: Enhancement,Detailed description for task 175. This is a technical task.,2,2,"TSK-141,TSK-154,TSK-039","Docker,Prometheus"
TSK-176,Task 176: Documentation,Detailed description for task 176. This is a documentation update.,3,8,,"Azure,Microservices"
TSK-177,Task 177: Feature,Detailed description for task 177. This is a documentation update.,3,2,"TSK-059,TSK-097,TSK-056",MongoDB
TSK-178,Task 178: Feature,Detailed description for task 178. This is a technical task.,1,13,,"System Architecture,Azure,Elasticsearch,Grafana"
TSK-179,Task 179: Enhancement,Detailed description for task 179. This is a user story.,3,5,"TSK-175,TSK-197","Elasticsearch,Redis,Terraform"
TSK-180,Task 180: Bug,Detailed description for task 180. This is a user story.,1,2,"TSK-001,TSK-195","Java,PostgreSQL,Grafana,Agile"
TSK-181,Task 181: Bug,Detailed description for task 181. This is a technical task.,3,1,,GraphQL
TSK-182,Task 182: Documentation,Detailed description for task 182. This is a bug fix.,3,2,"TSK-028,TSK-045,TSK-053","CI/CD,System Architecture,Angular"
TSK-183,Task 183: Feature,Detailed description for task 183. This is a user story.,3,1,"TSK-023,TSK-072","Elasticsearch,Jenkins"
TSK-184,Task 184: Feature,Detailed description for task 184. This is a documentation update.,3,13,,"Kubernetes,Prometheus"
TSK-185,Task 185: Bug,Detailed description for task 185. This is a documentation update.,3,13,TSK-070,"JavaScript,CI/CD,AWS,Terraform"
TSK-186,Task 186: Documentation,Detailed description for task 186. This is a user story.,2,2,"TSK-051,TSK-043","Kafka,Microservices"
TSK-187,Task 187: Bug,Detailed description for task 187. This is a documentation update.,3,8,TSK-017,"Kubernetes,GCP,Java,Terraform"
TSK-188,Task 188: Feature,Detailed description for task 188. This is a user story.,1,2,"TSK-145,TSK-081","PostgreSQL,MongoDB,Microservices,SQL"
TSK-189,Task 189: Documentation,Detailed description for task 189. This is a documentation update.,3,5,"TSK-150,TSK-152","JavaScript,Docker,Python"
TSK-190,Task 190: Feature,Detailed description for task 190. This is a user story.,2,8,"TSK-183,TSK-074","Azure,GCP"
TSK-191,Task 191: Bug,Detailed description for task 191. This is a user story.,1,1,"TSK-141,TSK-102","Kafka,Angular,UI/UX Design"
TSK-192,Task 192: Feature,Detailed description for task 192. This is a user story.,1,5,"TSK-014,TSK-197,TSK-122","Agile,GCP"
TSK-193,Task 193: Bug,Detailed description for task 193. This is a user story.,1,5,TSK-140,RabbitMQ
TSK-194,Task 194: Enhancement,Detailed description for task 194. This is a technical task.,1,1,"TSK-007,TSK-118",Kubernetes
TSK-195,Task 195: Documentation,Detailed description for task 195. This is a bug fix.,1,13,"TSK-017,TSK-027,TSK-097",Microservices
TSK-196,Task 196: Bug,Detailed description for task 196. This is a documentation update.,1,2,TSK-190,"RabbitMQ,Kafka,Grafana,SQL"
TSK-197,Task 197: Bug,Detailed description for task 197. This is a bug fix.,1,1,"TSK-132,TSK-023,TSK-142","Jenkins,Ansible"
TSK-198,Task 198: Enhancement,Detailed description for task 198. This is a documentation update.,2,5,,"Grafana,Java,Azure,AWS"
TSK-199,Task 199: Bug,Detailed description for task 199. This is a bug fix.,1,8,,"Python,Jenkins,RabbitMQ,Project Management"
TSK-200,Task 200: Enhancement,Detailed description for task 200. This is a user story.,3,13,TSK-067,"RabbitMQ,Angular,Python"
